,Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
170,165,Giorgi Gwelesiani,DF,ge Georgia,33-068,1991,1.8,3,3,3,0,0,3,5,60.0,2,3,3,0,2,5,15,1,Matches
171,166,Norbert Gyömbér,DF,sk Slovakia,32-009,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
172,167,Ianis Hagi,MF,ro Romania,25-264,1998,2.1,5,3,2,1,2,2,4,50.0,2,1,0,1,0,5,4,0,Matches
173,168,Dávid Hancko,DF,sk Slovakia,26-212,1997,4.1,10,5,6,4,0,4,11,36.4,7,7,2,5,3,13,10,0,Matches
174,169,Grant Hanley,DF,sct Scotland,32-235,1991,2.5,2,0,1,1,0,0,0,,0,2,1,1,1,3,11,0,Matches
175,170,Lukáš Haraslín,FW,sk Slovakia,28-047,1996,2.9,4,4,2,1,1,4,6,66.7,2,1,0,1,3,7,5,0,Matches
176,171,Kai Havertz,"FW,MF",de Germany,25-031,1999,4.3,2,1,1,1,0,2,2,100.0,0,4,0,4,0,2,8,0,Matches
177,172,Jack Hendry,DF,sct Scotland,29-066,1995,2.9,2,1,1,1,0,2,2,100.0,0,2,2,0,1,3,10,0,Matches
178,173,Benjamin Henrichs,DF,de Germany,27-140,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
179,174,Theo Hernández,DF,fr France,26-280,1997,6.3,10,6,7,2,1,6,9,66.7,3,6,5,1,3,13,12,2,Matches
180,175,Morten Hjulmand,MF,dk Denmark,25-017,1999,2.7,3,1,1,2,0,2,5,40.0,3,3,1,2,1,4,3,1,Matches
182,176,Adam Hložek,MF,cz Czechia,21-353,2002,1.2,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0,Matches
183,177,Tomáš Holeš,DF,cz Czechia,31-103,1993,3.0,10,5,5,3,2,7,10,70.0,3,4,2,2,2,12,12,0,Matches
184,178,Arbër Hoxha,"FW,MF",al Albania,25-280,1998,0.6,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
185,179,Robin Hranáč,DF,cz Czechia,24-165,2000,3.0,2,1,1,1,0,2,2,100.0,0,3,1,2,0,2,12,1,Matches
186,180,Elseid Hysaj,DF,al Albania,30-143,1994,2.0,1,1,0,1,0,1,5,20.0,4,3,2,1,0,1,2,0,Matches
187,181,Pierre Højbjerg,MF,dk Denmark,28-342,1995,3.9,10,7,5,5,0,7,13,53.8,6,5,0,5,3,13,5,0,Matches
188,182,Rasmus Højlund,FW,dk Denmark,21-159,2003,3.2,3,1,0,1,2,1,4,25.0,3,0,0,0,1,4,1,0,Matches
189,183,Ivan Ilić,MF,rs Serbia,23-117,2001,2.2,6,4,4,1,1,3,3,100.0,0,4,3,1,0,6,3,1,Matches
190,184,Josip Iličić,"FW,MF",si Slovenia,36-165,1988,0.3,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
191,185,Gonçalo Inácio,DF,pt Portugal,22-322,2001,1.3,2,2,1,1,0,2,5,40.0,3,6,0,6,1,3,5,0,Matches
192,186,Luka Ivanušec,MF,hr Croatia,25-229,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
193,187,Erik Janža,DF,si Slovenia,31-021,1993,3.0,4,4,3,1,0,1,5,20.0,4,1,1,0,2,6,8,0,Matches
194,188,Jorginho,MF,it Italy,32-205,1991,2.4,6,2,6,0,0,3,8,37.5,5,3,0,3,4,10,1,0,Matches
195,189,Joselu,FW,es Spain,34-107,1990,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Matches
196,190,Diogo Jota,"FW,MF",pt Portugal,27-221,1996,1.1,3,2,0,2,1,0,0,,0,1,0,1,0,3,0,0,Matches
197,191,Luka Jović,"MF,FW",rs Serbia,26-202,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
198,192,Josip Juranović,DF,hr Croatia,28-331,1995,1.0,3,3,1,2,0,2,3,66.7,1,1,1,0,1,4,1,0,Matches
199,193,David Jurásek,DF,cz Czechia,23-340,2000,1.8,3,2,2,1,0,2,5,40.0,3,1,1,0,1,4,2,0,Matches
200,194,Matěj Jurásek,"DF,MF",cz Czechia,20-317,2003,0.5,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,1,0,Matches
201,195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-279,1999,5.0,18,12,9,7,2,10,13,76.9,3,5,1,4,7,25,10,0,Matches
202,196,İrfan Kahveci,FW,tr Türkiye,28-363,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
203,197,Otar Kakabadze,"DF,MF",ge Georgia,29-015,1995,4.0,12,8,10,1,1,10,18,55.6,8,3,1,2,4,16,8,0,Matches
204,198,Harry Kane,FW,eng England,30-350,1993,6.0,4,3,2,2,0,1,3,33.3,2,1,1,0,1,5,0,0,Matches
205,199,N'Golo Kanté,MF,fr France,33-105,1991,5.7,12,9,6,3,3,4,5,80.0,1,6,1,5,6,18,7,0,Matches
206,200,Žan Karničnik,DF,si Slovenia,29-298,1994,4.3,8,4,7,1,0,7,12,58.3,5,5,3,2,8,16,11,0,Matches
208,201,Guram Kashia,DF,ge Georgia,37-008,1987,4.0,7,4,5,2,0,4,4,100.0,0,13,12,1,1,8,31,1,Matches
209,202,Milos Kerkez,DF,hu Hungary,20-248,2003,2.6,4,2,3,1,0,3,5,60.0,2,0,0,0,0,4,7,1,Matches
210,203,Semih Kılıçsoy,FW,tr Türkiye,18-332,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
211,204,Joshua Kimmich,DF,de Germany,29-155,1995,5.3,7,4,5,0,2,4,12,33.3,8,6,2,4,6,13,6,0,Matches
212,205,Otar Kiteishvili,MF,ge Georgia,28-108,1996,1.4,4,4,4,0,0,2,6,33.3,4,3,1,2,0,4,3,0,Matches
213,206,Jakub Kiwior,DF,pl Poland,24-148,2000,3.0,7,4,6,1,0,3,5,60.0,2,4,2,2,5,12,9,0,Matches
214,207,László Kleinheisler,MF,hu Hungary,30-095,1994,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
215,208,Giorgi Kochorashvili,MF,ge Georgia,25-013,1999,4.0,9,5,5,4,0,5,6,83.3,1,6,4,2,5,14,6,1,Matches
216,209,Orkun Kökçü,MF,tr Türkiye,23-196,2000,2.5,3,2,2,0,1,1,4,25.0,3,3,1,2,1,4,2,0,Matches
217,210,Randal Kolo Muani,FW,fr France,25-220,1998,2.2,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0,Matches
218,211,Yukhym Konoplia,DF,ua Ukraine,24-321,1999,0.8,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
219,212,Ezri Konsa,DF,eng England,26-263,1997,1.0,2,0,2,0,0,1,1,100.0,0,3,2,1,0,2,8,0,Matches
220,213,Filip Kostić,DF,rs Serbia,31-254,1992,0.5,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,Matches
221,214,Jules Koundé,DF,fr France,25-243,1998,6.3,18,12,7,5,6,10,17,58.8,7,5,0,5,2,20,22,0,Matches
222,215,Mateo Kovačić,MF,hr Croatia,30-067,1994,2.5,8,6,2,5,1,2,5,40.0,3,2,1,1,3,11,0,0,Matches
223,216,Matej Kovar,GK,cz Czechia,24-056,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
224,217,Andrej Kramarić,FW,hr Croatia,33-023,1991,2.7,0,0,0,0,0,0,0,,0,3,1,2,1,1,1,0,Matches
225,218,Ladislav Krejčí,DF,cz Czechia,25-083,1999,3.0,3,2,3,0,0,0,3,0.0,3,1,1,0,5,8,9,0,Matches
226,219,Toni Kroos,MF,de Germany,34-190,1990,5.2,9,4,4,4,1,3,5,60.0,2,3,0,3,7,16,5,0,Matches
227,220,Jan Kuchta,FW,cz Czechia,27-186,1997,1.1,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,Matches
228,221,Juraj Kucka,MF,sk Slovakia,37-137,1987,3.9,1,1,0,1,0,1,7,14.3,6,3,1,2,2,3,4,0,Matches
229,222,Jasmin Kurtić,FW,si Slovenia,35-184,1989,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
230,223,Khvicha Kvaratskhelia,FW,ge Georgia,23-151,2001,3.8,4,3,0,4,0,3,6,50.0,3,2,2,0,0,4,2,0,Matches
231,224,Nika Kvekveskiri,MF,ge Georgia,32-044,1992,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
232,225,Giorgi Kvilitaia,FW,ge Georgia,30-285,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
234,226,Solomon Kvirkvelia,DF,ge Georgia,32-157,1992,2.0,4,3,3,1,0,3,3,100.0,0,2,2,0,1,5,17,1,Matches
235,227,Qazim Laçi,"MF,FW",al Albania,28-175,1996,1.8,4,3,1,2,1,1,2,50.0,1,3,0,3,3,7,5,0,Matches
236,228,Konrad Laimer,"MF,FW",at Austria,27-046,1997,3.0,5,1,2,1,2,3,6,50.0,3,3,0,3,2,7,2,0,Matches
237,229,Ádám Lang,DF,hu Hungary,31-177,1993,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
238,230,Aymeric Laporte,DF,es Spain,30-046,1994,4.8,3,3,2,1,0,2,3,66.7,1,4,3,1,5,8,21,1,Matches
239,231,Robin Le Normand,DF,es Spain,27-244,1996,4.0,6,2,5,1,0,5,8,62.5,3,2,1,1,2,8,11,0,Matches
240,232,Rafael Leão,FW,pt Portugal,25-032,1999,3.2,2,2,2,0,0,1,2,50.0,1,1,0,1,1,3,1,0,Matches
241,233,Robert Lewandowski,FW,pl Poland,35-326,1988,1.3,2,2,0,0,2,0,0,,0,2,0,2,0,2,3,0,Matches
242,234,Philipp Lienhart,DF,at Austria,28-001,1996,2.4,2,2,1,1,0,2,3,66.7,1,2,2,0,2,4,10,0,Matches
243,235,Ondřej Lingr,"MF,FW",cz Czechia,25-279,1998,0.9,2,2,0,2,0,0,1,0.0,1,1,0,1,0,2,0,0,Matches
244,236,Dominik Livaković,GK,hr Croatia,29-185,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
245,237,Stanislav Lobotka,MF,sk Slovakia,29-230,1994,4.3,7,6,3,4,0,2,6,33.3,4,3,0,3,3,10,9,0,Matches
246,238,Saba Lobzhanidze,FW,ge Georgia,29-207,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
247,239,Luka Lochoshvili,"DF,MF",ge Georgia,26-044,1998,1.9,4,3,3,0,1,3,5,60.0,2,1,0,1,3,7,11,0,Matches
248,240,Fermin López,MF,es Spain,21-062,2003,0.3,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
249,241,Romelu Lukaku,FW,be Belgium,31-060,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
250,242,Dodi Lukebakio,"FW,DF",be Belgium,26-292,1997,0.7,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
251,243,Saša Lukić,MF,rs Serbia,27-334,1996,2.3,8,5,1,5,2,5,6,83.3,1,2,0,2,3,11,5,0,Matches
252,244,Andriy Lunin,GK,ua Ukraine,25-152,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,Matches
253,245,Mike Maignan,GK,fr France,29-009,1995,6.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0,Matches
254,246,Kobbie Mainoo,MF,eng England,19-084,2005,3.3,6,4,1,4,1,3,4,75.0,1,0,0,0,6,12,1,0,Matches
255,247,Lovro Majer,"FW,MF",hr Croatia,26-177,1998,1.6,4,3,1,2,1,2,2,100.0,0,4,0,4,0,4,0,0,Matches
256,248,Donyell Malen,FW,nl Netherlands,25-185,1999,2.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
257,249,Ruslan Malinovskyi,MF,ua Ukraine,31-069,1993,0.4,5,1,1,4,0,1,3,33.3,2,1,0,1,1,6,3,0,Matches
258,250,Giorgi Mamardashvili,GK,ge Georgia,23-287,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
260,251,Dennis Man,MF,ro Romania,25-321,1998,3.0,3,0,1,2,0,2,4,50.0,2,0,0,0,1,4,0,0,Matches
261,252,Rey Manaj,FW,al Albania,27-139,1997,1.7,2,2,1,0,1,0,1,0.0,1,0,0,0,1,3,2,0,Matches
262,253,Gianluca Mancini,DF,it Italy,28-086,1996,1.0,0,0,0,0,0,0,0,,0,3,1,2,0,0,1,0,Matches
263,254,Orel Mangala,MF,be Belgium,26-116,1998,1.5,4,3,2,1,1,1,3,33.3,2,2,1,1,4,8,0,0,Matches
264,255,Marius Marin,MF,ro Romania,25-317,1998,3.4,9,3,8,1,0,5,10,50.0,5,4,1,3,4,13,6,0,Matches
265,256,Răzvan Marin,MF,ro Romania,28-050,1996,3.9,7,2,3,4,0,4,9,44.4,5,3,2,1,0,7,6,0,Matches
266,257,Ádám Martin,"FW,DF",hu Hungary,29-249,1994,0.5,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0,Matches
267,258,Mykola Matviyenko,DF,ua Ukraine,28-071,1996,3.0,4,3,2,2,0,2,4,50.0,2,4,2,2,4,8,9,1,Matches
268,259,Kylian Mbappé,FW,fr France,25-205,1998,5.2,1,0,1,0,0,0,2,0.0,2,4,1,3,0,1,0,0,Matches
269,260,John McGinn,"MF,FW",sct Scotland,29-268,1994,2.6,1,1,0,1,0,1,4,25.0,3,2,0,2,1,2,0,0,Matches
270,261,Callum McGregor,MF,sct Scotland,31-028,1993,2.7,2,1,1,1,0,1,4,25.0,3,2,1,1,2,4,6,0,Matches
271,262,Scott McKenna,DF,sct Scotland,27-243,1996,1.5,1,0,1,0,0,1,2,50.0,1,1,1,0,2,3,5,0,Matches
272,263,Kenny McLean,MF,sct Scotland,32-186,1992,0.5,3,2,1,2,0,3,3,100.0,0,0,0,0,0,3,0,0,Matches
273,264,Scott McTominay,MF,sct Scotland,27-217,1996,3.0,4,2,2,1,1,1,2,50.0,1,2,1,1,3,7,7,0,Matches
274,265,Anzor Mekvabishvili,MF,ge Georgia,23-037,2001,2.1,6,3,3,3,0,3,3,100.0,0,4,1,3,5,11,5,0,Matches
275,266,Memphis,"FW,MF",nl Netherlands,30-150,1994,5.1,1,1,0,1,0,1,4,25.0,3,1,0,1,1,2,1,0,Matches
276,267,Nuno Mendes,DF,pt Portugal,22-023,2002,4.7,12,6,7,3,2,6,11,54.5,5,6,2,4,5,17,11,0,Matches
277,268,Mikel Merino,"MF,FW",es Spain,28-020,1996,2.0,4,3,0,3,1,2,3,66.7,1,2,1,1,2,6,4,0,Matches
278,269,Valentin Mihaila,MF,ro Romania,24-161,2000,1.3,3,2,2,0,1,0,1,0.0,1,0,0,0,2,5,5,0,Matches
279,270,Srđan Mijailović,DF,rs Serbia,30-245,1993,0.8,3,1,1,2,0,3,4,75.0,1,1,0,1,1,4,4,0,Matches
280,271,Georges Mikautadze,FW,ge Georgia,23-255,2000,3.8,3,1,1,2,0,1,4,25.0,3,0,0,0,0,3,0,0,Matches
281,272,Nikola Milenković,DF,rs Serbia,26-274,1997,3.0,3,3,1,2,0,1,2,50.0,1,2,2,0,2,5,11,0,Matches
282,273,Sergej Milinković-Savić,MF,rs Serbia,29-136,1995,1.3,2,2,0,2,0,1,2,50.0,1,1,1,0,1,3,2,0,Matches
283,274,Mario Mitaj,DF,al Albania,20-341,2003,3.0,8,4,6,1,1,8,11,72.7,3,4,0,4,7,15,11,0,Matches
284,275,Aleksandar Mitrović,FW,rs Serbia,29-300,1994,2.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,4,0,Matches
286,276,Maximilian Mittelstädt,DF,de Germany,27-116,1997,3.4,4,2,1,1,2,3,5,60.0,2,6,0,6,2,6,8,0,Matches
287,277,Filip Mladenović,DF,rs Serbia,32-332,1991,1.2,2,1,0,1,1,1,5,20.0,4,0,0,0,2,4,1,0,Matches
288,278,Jan Mlakar,MF,si Slovenia,25-263,1998,3.3,3,3,2,1,0,1,2,50.0,1,2,1,1,1,4,9,0,Matches
289,279,Jakub Moder,MF,pl Poland,25-096,1999,2.0,2,2,0,2,0,1,3,33.3,2,3,1,2,1,3,8,0,Matches
290,280,Luka Modrić,MF,hr Croatia,38-307,1985,2.6,4,4,4,0,0,1,2,50.0,1,1,0,1,1,5,1,0,Matches
291,281,Vasile Mogos,DF,ro Romania,31-255,1992,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
292,282,Álvaro Morata,FW,es Spain,31-263,1992,4.2,6,4,1,2,3,0,4,0.0,4,0,0,0,0,6,2,0,Matches
293,283,Lewis Morgan,DF,sct Scotland,27-286,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
294,284,Ernest Muçi,FW,al Albania,23-115,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
295,285,Mykhailo Mudryk,"FW,MF",ua Ukraine,23-189,2001,1.9,2,2,1,0,1,2,4,50.0,2,0,0,0,0,2,1,1,Matches
296,286,Mert Müldür,"DF,MF",tr Türkiye,25-100,1999,3.8,7,6,3,1,3,7,9,77.8,2,8,1,7,5,12,12,0,Matches
297,287,Thomas Müller,"MF,FW",de Germany,34-303,1989,0.6,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,Matches
298,288,Jamal Musiala,FW,de Germany,21-137,2003,4.7,6,4,1,4,1,2,3,66.7,1,7,0,7,4,10,2,0,Matches
299,289,Phillipp Mwene,DF,at Austria,30-165,1994,2.2,6,4,3,3,0,3,6,50.0,3,5,2,3,0,6,6,0,Matches
300,290,Vitaliy Mykolenko,DF,ua Ukraine,25-044,1999,0.6,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,Matches
301,291,Joakim Mæhle,"DF,MF",dk Denmark,27-053,1997,3.1,6,4,3,2,1,3,8,37.5,5,2,0,2,3,9,5,1,Matches
302,292,Nacho,DF,es Spain,34-176,1990,2.8,2,1,1,1,0,1,3,33.3,2,3,2,1,0,2,15,0,Matches
303,293,Ádám Nagy,MF,hu Hungary,29-025,1995,1.8,3,2,2,1,0,2,2,100.0,0,1,0,1,4,7,3,0,Matches
304,294,Zsolt Nagy,DF,hu Hungary,31-048,1993,0.2,2,0,1,1,0,0,0,,0,0,0,0,0,2,2,0,Matches
305,295,Jesús Navas,DF,es Spain,38-234,1985,1.7,3,2,1,2,0,0,0,,0,2,0,2,1,4,11,0,Matches
306,296,Dan Ndoye,"MF,DF",ch Switzerland,23-261,2000,4.5,5,3,4,1,0,1,2,50.0,1,3,0,3,2,7,2,0,Matches
307,297,Pedro Neto,"DF,FW",pt Portugal,24-125,2000,1.3,5,1,2,2,1,2,2,100.0,0,0,0,0,2,7,1,0,Matches
308,298,Manuel Neuer,GK,de Germany,38-107,1986,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
309,299,João Neves,MF,pt Portugal,19-289,2004,0.9,0,0,0,0,0,0,0,,0,1,0,1,5,5,0,0,Matches
310,300,Rúben Neves,MF,pt Portugal,27-121,1997,1.4,3,1,0,2,1,0,1,0.0,1,3,1,2,1,4,1,0,Matches
312,301,Florin Niță,GK,ro Romania,37-009,1987,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
313,302,Matheus Nunes,MF,pt Portugal,25-320,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
314,303,Christian Nørgaard,MF,dk Denmark,30-124,1994,0.4,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
315,304,Adam Obert,DF,sk Slovakia,21-324,2002,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
316,305,Jan Oblak,GK,si Slovenia,31-187,1993,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
317,306,Darius Olaru,MF,ro Romania,26-131,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
318,307,Dani Olmo,"MF,FW",es Spain,26-066,1998,3.8,3,3,1,1,1,3,5,60.0,2,1,0,1,2,5,2,0,Matches
319,308,Amadou Onana,MF,be Belgium,22-331,2001,4.0,8,6,3,4,1,4,5,80.0,1,7,1,6,3,11,4,2,Matches
320,309,Loïs Openda,FW,be Belgium,24-147,2000,0.8,2,1,0,0,2,0,0,,0,1,0,1,1,3,1,0,Matches
321,310,Willi Orban,DF,hu Hungary,31-252,1992,3.0,7,7,7,0,0,3,3,100.0,0,9,7,2,1,8,9,1,Matches
322,311,Mikel Oyarzabal,FW,es Spain,27-082,1997,2.0,1,0,0,0,1,0,0,,0,2,0,2,0,1,4,0,Matches
323,312,Salih Özcan,MF,tr Türkiye,26-183,1998,1.7,6,3,1,5,0,2,3,66.7,1,0,0,0,7,13,4,0,Matches
324,313,João Palhinha,MF,pt Portugal,29-003,1995,3.3,15,9,5,8,2,7,10,70.0,3,6,1,5,8,23,6,0,Matches
325,314,Cole Palmer,"MF,FW",eng England,22-067,2002,1.4,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
326,315,Mario Pašalić,"FW,MF",hr Croatia,29-154,1995,1.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
327,316,Strahinja Pavlović,DF,rs Serbia,23-049,2001,3.0,11,6,7,3,1,9,14,64.3,5,2,0,2,4,15,10,0,Matches
328,317,Pedri,MF,es Spain,21-230,2002,2.1,6,3,1,4,1,2,4,50.0,2,0,0,0,1,7,0,0,Matches
329,318,Peter Pekarík,DF,sk Slovakia,37-256,1986,4.2,1,0,1,0,0,1,4,25.0,3,4,3,1,7,8,11,0,Matches
330,319,Lorenzo Pellegrini,"FW,MF",it Italy,28-023,1996,2.4,2,0,1,1,0,1,4,25.0,3,3,0,3,2,4,2,0,Matches
331,320,Patrick Pentz,GK,at Austria,27-192,1997,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
332,321,Pepe,DF,pt Portugal,41-137,1983,4.5,9,5,5,3,1,7,13,53.8,6,3,2,1,5,14,26,1,Matches
333,322,Danilo Pereira,DF,pt Portugal,32-307,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
334,323,Ayoze Pérez,FW,es Spain,30-349,1993,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
335,324,Ivan Perišić,"DF,FW",hr Croatia,35-161,1989,1.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,Matches
336,325,Bruno Petković,FW,hr Croatia,29-300,1994,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
338,326,Krzysztof Piątek,FW,pl Poland,29-011,1995,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
339,327,Jordan Pickford,GK,eng England,30-127,1994,6.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
340,328,Jakub Piotrowski,MF,pl Poland,26-282,1997,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
341,329,Marin Pongračić,DF,hr Croatia,26-305,1997,2.0,2,1,2,0,0,0,4,0.0,4,6,3,3,2,4,9,0,Matches
